dinolayer_exp, S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_1,75.261,87.05,70.221,67.894,66.923,90.525,14.899,22.367,67.072,12.995
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_3333,83.628,91.236,79.313,77.947,73.119,96.612,25.722,32.424,84.236,19.978
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_11111111,84.29,91.421,79.574,77.33,72.798,96.508,22.962,30.837,84.167,18.71
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_6,84.862,91.828,80.25,78.359,73.063,95.841,22.988,30.28,82.106,18.305
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_22,81.779,89.631,78.908,75.929,72.282,96.166,20.957,28.457,82.919,17.083
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_111111111,84.88,91.75,79.996,77.87,73.344,96.509,23.6,31.256,84.237,19.013
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_222,84.607,91.588,80.745,78.329,73.551,96.696,23.638,31.106,84.745,18.923
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_22222,85.998,92.46,80.892,79.152,74.085,96.713,25.588,32.865,85.103,20.186
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_44,87.334,93.274,82.205,80.381,74.78,96.905,27.005,33.878,85.591,20.929
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_11,80.606,89.378,75.73,73.382,69.568,95.451,18.287,26.482,81.08,15.6
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_1111111,83.459,90.986,78.67,76.673,72.61,96.314,22.575,30.284,83.583,18.334
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_33,86.31,92.417,81.736,79.562,74.24,96.747,25.049,32.131,84.806,19.664
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_3,82.156,90.427,78.06,75.825,71.602,95.151,20.935,28.252,79.99,16.859
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_2,80.333,89.571,75.544,73.448,69.516,94.127,19.004,26.492,76.501,15.673
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_111111111111,83.373,91.103,79.269,77.892,73.023,96.555,24.557,31.903,84.548,19.547
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_12,86.199,92.501,80.889,78.698,73.306,95.841,23.371,30.508,81.778,18.466
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_1111111111,85.353,92.037,80.439,78.48,73.59,96.648,24.288,31.905,84.828,19.45
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_444,84.221,91.519,79.382,78.394,73.208,96.621,26.124,32.905,84.577,20.309
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_11111,83.533,90.983,79.75,77.414,72.877,96.452,22.087,29.7,84.264,17.904
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_333,86.977,93.195,81.449,79.638,74.044,96.827,26.138,33.236,85.134,20.462
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_111,82.322,90.036,77.042,74.875,71.133,95.885,19.369,27.691,82.221,16.46
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_1111,83.11,90.522,78.039,75.841,71.64,96.105,21.161,28.921,82.83,17.387
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_111111,83.361,91.029,79.655,77.587,73.065,96.506,22.82,30.5,84.259,18.48
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_4,83.398,91.117,79.168,77.09,72.298,95.558,21.95,29.167,81.383,17.497
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_2222,85.597,92.166,80.556,78.408,73.629,96.677,24.146,31.525,84.796,19.235
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_66,84.564,91.755,79.657,78.326,73.165,96.136,25.222,32.221,83.021,19.762
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_11111111111,85.227,92.0,80.223,78.717,73.468,96.609,24.761,32.382,84.84,19.814
Dinomaly_small_loosecosloss_size256_dinov3_officialloadhub_freeze_decodernorope_drop0_fusefinallayers_222222,82.934,90.79,79.324,77.714,73.101,96.653,25.116,32.019,84.702,19.662
