, S_AUROC , S_AUPR , mAUROC_sp_max , mAP_sp_max , mF1_max_sp_max , mAUROC_px , mAP_px , mF1_max_px , mAUPRO_px , mIoU_max_px
audiojack,93.333,96.488,77.777,56.234,63.955,96.531,4.324,9.387,82.719,4.925
bottle_cap,91.799,95.499,86.863,84.226,77.341,99.27,33.359,35.355,95.994,21.474
button_battery,81.424,88.781,78.126,80.401,79.048,95.695,23.721,33.819,79.365,20.351
end_cap,84.461,91.324,77.5,81.395,77.182,96.488,11.143,20.702,88.82,11.546
eraser,96.219,98.376,86.507,74.776,75.059,98.147,6.712,13.715,90.321,7.362
fire_hood,86.517,92.556,81.665,73.543,66.626,98.275,24.791,31.525,88.822,18.712
 mint ,69.285,91.76,64.578,63.563,64.247,93.255,5.361,14.225,66.9,7.657
mounts,97.078,98.563,83.682,74.812,70.301,98.983,35.398,38.03,93.51,23.48
 pcb  ,88.547,94.161,85.256,90.243,82.169,96.464,3.001,6.35,82.37,3.279
phone_battery,98.282,99.091,82.023,69.304,74.874,96.779,6.532,10.583,86.465,5.587
plastic_nut,94.85,96.573,84.984,73.864,68.597,98.791,23.965,28.474,94.641,16.6
plastic_plug,82.767,91.927,80.914,76.588,66.858,97.849,16.504,29.684,88.97,17.429
porcelain_doll,86.262,92.817,66.744,47.082,53.295,95.729,1.172,3.035,82.99,1.541
regulator,66.607,81.824,61.878,44.279,45.837,95.446,13.168,21.316,81.322,11.929
rolled_strip_base,99.621,99.833,98.19,99.12,94.878,99.003,20.078,28.135,97.106,16.37
sim_card_set,97.584,98.767,89.784,87.733,84.315,95.726,4.026,8.154,79.702,4.25
switch,92.542,96.603,87.844,90.364,80.716,99.332,60.111,63.872,93.264,46.921
 tape ,98.998,99.496,95.576,93.912,86.718,99.479,36.339,40.503,97.805,25.395
terminalblock,92.742,96.885,86.889,89.284,79.667,99.479,34.456,40.612,96.999,25.48
toothbrush,94.604,96.661,86.747,86.95,82.978,97.074,25.364,33.09,89.634,19.825
 toy  ,86.801,91.229,79.797,81.661,81.624,95.27,6.279,12.694,82.453,6.777
toy_brick,84.444,92.226,77.165,69.492,66.914,97.036,14.127,21.179,87.508,11.844
transistor1,98.441,99.235,95.332,95.991,91.128,98.839,28.255,33.712,94.402,20.273
u_block,94.56,97.352,81.287,62.637,64.984,96.759,1.864,5.017,85.439,2.573
 usb  ,86.49,91.614,87.262,85.0,78.13,98.786,12.722,24.643,92.376,14.053
usb_adaptor,87.391,93.497,79.164,72.982,66.436,97.404,15.753,23.638,86.336,13.403
vcpill,93.102,96.632,77.613,71.003,65.528,97.862,29.602,36.212,88.041,22.109
wooden_beads,87.814,94.955,82.812,79.8,72.111,96.235,14.98,21.482,81.811,12.034
woodstick,74.272,87.663,79.352,69.596,62.53,96.958,39.117,45.518,84.176,29.465
zipper,99.489,99.432,97.897,98.37,94.822,96.429,11.432,21.503,87.105,12.046
Avg,89.54419999999999,94.72733333333332,82.70693333333334,77.47350000000002,73.96226666666668,97.31243333333335,18.788533333333326,25.20546666666667,87.57886666666667,15.156333333333333
